@ref	@lat	@lon
30072:268	49.4356975	13.5555433
30072:269	49.4952463	13.6959153
30072:27	49.66895770000001	13.3704526
30072:270	49.4853752	13.6817295
30072:271	49.4772796	13.7461084
30072:272	49.4849247	13.7262641
30072:28	49.6408389	13.5186356
30072:283	49.5808469	13.5316719
30072:284	49.5822034	13.5400989
30072:285	49.5822034	13.5400989
30072:286	49.5822034	13.5400989
30072:287	49.5756418	13.5472169
30072:288	49.5475476	13.5200517
30072:289	49.5470657	13.5784702
30072:290	49.5678078	13.505359
30072:291	49.5711124	13.520688
30072:292	49.587975	13.5048988
30072:293	49.5843018	13.4700153
30072:294	49.5681299	13.4798129
30072:296	49.6014913	13.5677616
30072:297	49.5518393	13.5721084
30072:299	49.5610628	13.5798461
30072:30	49.6404353	13.5196266
30072:300	49.5642265	13.6057129
30072:301	49.5722089	13.5799471
30072:302	49.5665485	13.5872966
30072:303	49.5660859	13.5458193
30072:304	49.5660859	13.5458193
30072:305	49.5462026	13.4892425
30072:306	49.5571606	13.4724396
30072:307	49.5399034	13.4552909
30072:308	49.5399034	13.4552909
30072:309	49.53305599999999	13.456111
30072:310	49.5104668	13.4313981
30072:311	49.5195272	13.4686581
30072:312	49.5417812	13.4405187
30072:313	49.5514449	13.4727558
30072:314	49.55569879999999	13.5102213
30072:315	49.5642187	13.5559769
30072:316	49.6118084	13.6053799
30072:317	49.6208553	13.5767871
30072:318	49.6345435	13.6028484
30072:319	49.6345435	13.6028484
30072:32	49.6548327	13.2930773
30072:320	49.61371519999999	13.6055692
30072:321	49.6091688	13.6473997
30072:324	49.63659999999999	13.6534304
30072:325	49.62988050000001	13.6874821
30072:326	49.6225636	13.7257541
30072:327	49.55946789999999	13.7130715
30072:328	49.5919252	13.6694088
30072:329	49.6038824	13.6930371
30072:33	49.6559721	13.3026772
30072:330	49.62198739999999	13.6903807
30072:331	49.5593458	13.6482247
30072:332	49.53576349999999	13.6613017
30072:333	49.5607404	13.672724
30072:335	49.5895509	13.5988758
30072:34	49.6538868	13.2949588
30072:340	49.8687579	13.7595644
30072:342	49.8852155	13.8048894
30072:343	49.8569438	13.7517999
30072:344	49.8426436	13.7398208
30072:345	49.8843085	13.7591999
30072:346	49.8830593	13.7495681
30072:347	49.8771082	13.7258455
30072:348	49.8602445	13.7726288
30072:349	49.8218678	13.7638006
30072:35	49.6431891	13.201431
30072:350	49.8133658	13.7996406
30072:351	49.8363884	13.7783678
30072:353	49.8373431	13.7846148
30072:354	49.8920431	13.7207147
30072:355	49.9074777	13.7281036
30072:356	49.9074777	13.7281036
30072:357	49.90988470000001	13.7034341
30072:358	49.9136349	13.6614646
30072:359	49.9062078	13.6643063
30072:36	49.6548327	13.2930773
30072:360	49.8938224	13.673094
30072:361	49.8854613	13.6778624
30072:362	49.86986539999999	13.6921571
30072:363	49.874734	13.6819322
30072:364	49.89480930000001	13.6209195
30072:366	49.92928879999999	13.6192242
30072:367	49.94045699999999	13.6073434
30072:370	49.9616662	13.7420661
30072:379	49.6878295	13.6580742
30072:380	49.6878295	13.6580742
30072:382	49.6878295	13.6580742
30072:383	49.6878295	13.6580742
30072:384	49.6682769	13.6634574
30072:385	49.66593839999999	13.6779238
30072:386	49.6512035	13.6826485
30072:387	49.6469282	13.7022514
30072:388	49.6777277	13.7052694
30072:389	49.65894189999999	13.5922248
30072:392	49.7156627	13.6868215
30072:42	49.74215599999999	13.5932783
30072:44	49.7461508	13.600727
30072:48	49.7317307	13.6031301
30072:5	49.7190738	13.5098307
30072:52	49.8214417	13.7384452
30072:53	49.8133658	13.7996406
30072:54	49.773849	13.7190846
30072:56	49.7598743	13.6482359
30072:59	49.74588259999999	13.6831071
30072:6	49.7150594	13.5245572
30072:62	49.7196161	13.6651875
30072:63	49.7236719	13.6187639
30072:64	49.69508330000001	13.6028331
30072:65	49.685455	13.6056433
30072:69	49.7460903	13.5142668
30072:7	49.7012703	13.5288097
30072:70	49.7867825	13.5668787
30072:71	49.7780146	13.5909401
30072:77	49.807542	13.5968009
30072:78	49.8089129	13.5428402
30072:80	49.8074333	13.5274735
30072:84	49.8242894	13.5965447
30072:9	49.6299783	13.530732
30072:90	49.838718	13.5184449
30072:96	49.8204557	13.6336331
30072:99	49.8686686	13.6524231
33907:101	49.4197415	13.3808718
33907:105	49.4023889	13.4286215
33907:106	49.4174691	13.4264385
33907:108	49.3898739	13.4057603
33907:114	49.3898853	13.2146665
33907:116	49.3799515	13.1675066
33907:119	49.40233079999999	13.2551394
33907:122	49.4245876	13.2451717
33907:123	49.2989568	13.4390062
33907:124	49.320694	13.4365594
33907:127	49.31937079999999	13.3832097
33907:128	49.3111669	13.3866854
33907:130	49.330382	13.4959966
33907:131	49.3158727	13.4989822
33907:132	49.3350149	13.5114269
33907:133	49.3547679	13.5049906
33907:134	49.337365	13.49044
33907:135	49.2850231	13.4205782
33907:136	49.2657628	13.3923278
33907:137	49.24867949999999	13.3707544
33907:138	49.2279448	13.3752439
33907:141	49.2507652	13.4288487
33907:142	49.28768460000001	13.472148
33907:147	49.2977894	13.3954193
33907:148	49.3028172	13.3754938
33907:149	49.4813663	13.2841806
33907:150	49.4813663	13.2841806
33907:151	49.5018924	13.2944531
33907:152	49.4685052	13.3568018
33907:154	49.4967347	13.1872281
33907:155	49.5031595	13.2670309
33907:156	49.4884058	13.2545714
33907:157	49.5027067	13.2002984
33907:161	49.4910621	13.2284034
33907:163	49.46861269999999	13.4237716
33907:164	49.4937148	13.365603
33907:165	49.4859595	13.3760117
33907:166	49.4821884	13.3633645
33907:167	49.4981255	13.3793888
33907:168	49.3454548	13.2134855
33907:170	49.3451571	13.218139
33907:173	49.3131847	13.6586971
33907:174	49.34724929999999	13.2647122
33907:175	49.3556896	13.1977875
33907:178	49.3107628	13.2729601
33907:179	49.3708373	13.2397636
33907:181	49.35583459999999	13.1664991
33907:182	49.3315734	13.1587106
33907:183	49.3595514	13.2811913
33907:184	49.3497973	13.2043175
33907:185	49.3254418	13.2474412
33907:187	49.3616908	13.2202578
33907:188	49.2965153	13.2222202
33907:189	49.287716	13.257667
33907:19	49.3984932	13.2939188
33907:190	49.3374374	13.1782896
33907:195	49.2860909	13.1454528
33907:196	49.29387920000001	13.1435389
33907:199	49.29387920000001	13.1435389
33907:200	49.29387920000001	13.1435389
33907:201	49.3111557	13.1239677
33907:202	49.295331	13.1714111
